node,long,lat
10135,-75.44055556,40.65222222
10136,-99.68194444,32.41138889
10140,-106.60833333,35.03888889
10141,-98.4225,45.44833333
10146,-84.19444444,31.53555556
10155,-97.23027778,31.61222222
10157,-124.10833333,40.97777778
10165,-176.64611111,51.87805556
10170,-152.49388889,57.75
10185,-92.54861111,31.3275
10208,-81.96444444,33.37
10257,-73.80194444,42.74916667
10268,-92.40027778,42.55694444
10279,-101.70583333,35.21944444
10299,-149.99805556,61.17416667
10333,-83.56027778,45.07805556
10361,-76.02055556,43.99194444
10372,-106.86833333,39.22194444
10397,-84.42777778,33.63666667
10408,-88.51916667,44.25805556
10423,-97.67,30.19444444
10431,-82.54194444,35.43611111
10434,-75.72333333,41.33833333
10529,-72.68333333,41.93916667
10551,-161.83722222,60.77861111
10561,-119.05777778,35.43388889
10581,-68.82805556,44.8075
10599,-86.75222222,33.56388889
10620,-108.54277778,45.80777778
10627,-100.74583333,46.77277778
10631,-94.93472222,47.51083333
10643,-93.20055556,36.53194444
10666,-122.5375,48.79277778
10685,-88.91583333,40.47722222
10693,-86.67805556,36.12444444
10713,-116.22277778,43.56444444
10721,-71.00638889,42.36305556
10728,-94.02055556,29.95083333
10731,-81.46638889,31.25916667
10732,-67.12944444,18.49472222
10739,-94.13361111,46.40416667
10747,-97.42583333,25.90694444
10754,-156.76861111,71.285
10779,-112.4975,45.95472222
10781,-91.15,30.53277778
10785,-73.15333333,44.47194444
10792,-78.73055556,42.94055556
10800,-118.35861111,34.20055556
10821,-76.66833333,39.17527778
10849,-111.15194444,45.7775
10868,-81.11944444,33.93888889
10874,-81.44361111,40.915
10918,-113.09888889,37.70083333
10926,-145.4775,60.49166667
10930,-124.23666667,41.78027778
10980,-85.20361111,35.03527778
10990,-78.45277778,38.13861111
10994,-80.04055556,32.89861111
11002,-121.85833333,39.79527778
11003,-91.71083333,41.88472222
11041,-117.28,33.12833333
11042,-81.85472222,41.40944444
11049,-96.36388889,30.58861111
11057,-80.94916667,35.21361111
11066,-82.89222222,39.99694444
11067,-88.27777778,40.03888889
11076,-88.48916667,47.16833333
11097,-109.02388889,44.52027778
11109,-104.70083333,38.80583333
11111,-92.21972222,38.81805556
11122,-106.46361111,42.90583333
11140,-97.50111111,27.77083333
11146,-81.59305556,38.37583333
11150,-84.93888889,32.51638889
11193,-84.66777778,39.04888889
11203,-89.66666667,44.7775
11252,-81.05805556,29.18
11259,-96.85166667,32.84722222
11267,-84.21944444,39.90222222
11274,-90.70944444,42.40194444
11278,-77.03777778,38.85194444
11292,-104.67305556,39.86166667
